route_group,match_count,avg_p1_center_x,avg_p1_center_y,avg_p1_radius
south_to_north_military,3397,413283.42725198704,393346.27300283336,194334.9437279217
west_to_east_georgopol,3064,399221.67769357865,389937.6400436521,194540.43010566253
north_to_south_severny,3055,412533.9049611293,390491.1141520049,194414.38345949264
east_to_west,2453,407681.79491948633,408846.0251605177,194365.88459284548
southeast_to_northwest_military,2255,398563.0106638027,424636.7869526053,194413.5217433481
southwest_to_northeast_military,2240,414015.3515764509,418772.03986467636,194294.17703683037
northwest_to_southeast_georgopol,1950,359166.34689102566,398467.4242467949,194393.68171474358
northeast_to_southwest_yasnaya,1704,464672.81014341256,376519.66272373823,194471.05030443074
northwest_to_southeast_severny,1182,457979.4466476311,360030.3377220812,194393.62111357867
northeast_to_southwest_severny,1121,352540.92685102584,360171.7200602141,194603.69051070474
southeast_to_northwest,1100,418518.1385227273,336872.2530113636,194292.47639204544
southwest_to_northeast_georgopol,950,394832.97037828946,331554.8028782895,194669.52226973683
east_to_west_yasnaya,749,409012.4102970628,324226.33121244994,194499.6053905207
northeast_to_southwest,511,385559.53534735815,483946.0597786204,194200.9263087084
northwest_to_southeast,275,510053.70176136366,477893.7753409091,193541.1693181818
west_to_east_military,225,422776.58708333335,493824.1829166667,195008.51083333333
east_to_west_military,181,381392.50768301106,501234.39554558013,194760.7059737569
southwest_to_northeast,175,490711.5305357143,322308.84330357146,193855.59964285715
north_to_south_yasnaya,137,518063.72411040147,364599.9727417883,194948.47011861313
west_to_east,134,502917.60750932834,382654.67000932834,194057.62383395524
north_to_south_georgopol,128,281262.05126953125,390566.54736328125,193787.52661132812
north_to_south,109,425800.4344896789,542616.7200401376,194515.85894495412
south_to_north,56,380023.53292410716,392223.6573660714,193930.42801339287
southwest_to_northeast_pochinki,36,453536.0685763889,427710.44618055556,193676.38107638888
south_to_north_pochinki,35,405791.62098214286,363388.32232142857,193722.57142857142
southeast_to_northwest_pochinki,30,425725.44166666665,435360.10260416666,193999.71354166666
east_to_west_pochinki,28,428540.97433035716,384765.07477678574,193722.57142857142
west_to_east_pochinki,23,408232.98233695654,332212.949048913,193071.88994565216
northwest_to_southeast_pochinki,20,420456.890625,334541.77734375,193805.7140625
north_to_south_pochinki,17,401878.3648897059,385290.4613970588,193429.1268382353
northeast_to_southwest_pochinki,12,419844.265625,325859.8684895833,193999.71354166666
east_to_west_severny,10,203407.9359375,387426.059375,193223.715625
west_to_east_severny,8,591279.75,358835.916015625,196424.70703125
south_to_north_georgopol,1,325609.625,142539.03125,192059.71875
northeast_to_southwest_georgopol,1,216931.625,262234.0625,192059.71875
